2021-07-29 17:12:17 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:12:17 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:12:17 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:12:17 INFO  CoapEndpoint:452 - Endpoint [coap://0.0.0.0:0] requires an executor to start, using default single-threaded daemon executor
2021-07-29 17:12:18 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:12:18 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:57801, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:12:18 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:57801
2021-07-29 17:12:18 INFO  EndpointManager:140 - created implicit endpoint coap://0.0.0.0:57801 for coap
2021-07-29 17:17:38 INFO  NetworkConfig:372 - loading properties from file C:\Users\simom\Desktop\Unibo\UniboM\ISS\ParkManagerService\distrib\it.unibo.parkmanagerservice-1.0\bin\Californium.properties
2021-07-29 17:17:38 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:17:38 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:17:38 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:17:38 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:17:38 INFO  CoapServer:207 - Starting server
2021-07-29 17:17:38 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:17:38 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8010, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:17:38 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8010
2021-07-29 17:20:35 INFO  NetworkConfig:372 - loading properties from file C:\Users\simom\Desktop\Unibo\UniboM\ISS\ParkManagerService\distrib\it.unibo.parkmanagerservice-1.0\bin\Californium.properties
2021-07-29 17:20:36 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:20:36 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:20:36 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:20:36 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:20:36 INFO  CoapServer:207 - Starting server
2021-07-29 17:20:36 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:20:36 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8010, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:20:36 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8010
2021-07-29 17:21:14 INFO  NetworkConfig:372 - loading properties from file C:\Users\simom\Desktop\Unibo\UniboM\ISS\ParkManagerService\distrib\it.unibo.parkmanagerservice-1.0\bin\Californium.properties
2021-07-29 17:21:15 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:21:15 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:21:15 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:21:15 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:21:15 INFO  CoapServer:207 - Starting server
2021-07-29 17:21:15 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:21:15 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8010, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:21:15 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8010
2021-07-29 17:21:28 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:21:28 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:21:28 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:21:28 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:21:28 INFO  CoapEndpoint:452 - Endpoint [coap://0.0.0.0:0] requires an executor to start, using default single-threaded daemon executor
2021-07-29 17:21:28 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:21:28 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:53179, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:21:28 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:53179
2021-07-29 17:21:28 INFO  EndpointManager:140 - created implicit endpoint coap://0.0.0.0:53179 for coap
2021-07-29 17:26:02 INFO  NetworkConfig:372 - loading properties from file C:\Users\simom\Desktop\Unibo\UniboM\ISS\ParkManagerService\distrib\it.unibo.parkmanagerservice-1.0\bin\Californium.properties
2021-07-29 17:26:02 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:26:02 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:26:02 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:26:02 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:26:02 INFO  CoapServer:207 - Starting server
2021-07-29 17:26:02 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:26:02 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8010, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:26:02 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8010
2021-07-29 17:26:19 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:26:19 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:26:19 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:26:19 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:26:19 INFO  CoapEndpoint:452 - Endpoint [coap://0.0.0.0:0] requires an executor to start, using default single-threaded daemon executor
2021-07-29 17:26:19 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:26:19 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:52498, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:26:19 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:52498
2021-07-29 17:26:19 INFO  EndpointManager:140 - created implicit endpoint coap://0.0.0.0:52498 for coap
2021-07-29 17:45:25 INFO  NetworkConfig:372 - loading properties from file C:\Users\simom\Desktop\Unibo\UniboM\ISS\ParkManagerService\distrib\it.unibo.parkmanagerservice-1.0\bin\Californium.properties
2021-07-29 17:45:25 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:45:25 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-29 17:45:25 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-29 17:45:25 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-29 17:45:25 INFO  CoapServer:207 - Starting server
2021-07-29 17:45:25 INFO  UDPConnector:161 - UDPConnector starts up 16 sender threads and 16 receiver threads
2021-07-29 17:45:25 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8010, recv buf = 65536, send buf = 65536, recv packet size = 2048
2021-07-29 17:45:25 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8010
2021-07-29 17:46:01 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-29 17:46:01 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
